"sample","stromal","immune","estimate","purity"
"CGGA_1663",43.7270103795392,1786.27469246221,1830.00170284174,0.642062952508928
"CGGA_1664",-1533.6192601444,-671.281800845971,-2204.90106099037,0.960686118400202
"CGGA_1666",-418.279353539711,904.07081832283,485.791464783119,0.779896582985903
"CGGA_1667",-1431.63867738412,-520.572179592309,-1952.21085697643,0.949729590931455
"CGGA_1669",-1395.03662395596,-604.899351041734,-1999.93597499769,0.951899487929277
"CGGA_1670",-870.951820524288,13.9788294117427,-856.972991112546,0.887367055674407
"CGGA_1671",-1765.99300109819,-211.267422127319,-1977.26042322551,0.95087432715819
"CGGA_1672",-1471.81666430177,-373.756566595994,-1845.57323089777,0.944712882466597
"CGGA_1673",-1961.28128121724,-1318.92932529785,-3280.21060651509,0.992384753560872
"CGGA_1675",-985.101425913424,817.8675972782,-167.233828635224,0.836221868541858
"CGGA_1677",-1063.11017035581,399.082389001794,-664.027781354017,0.873954627813031
"CGGA_1678",-387.445344332484,431.107912356326,43.6625680238423,0.818847289643148
"CGGA_1679",-1694.10177609782,-812.719963981927,-2506.82174007975,0.972043224061893
"CGGA_1680",-870.867334276759,1264.03192499367,393.164590716916,0.788334428835597
"CGGA_1681",-952.766484671816,849.635853404092,-103.130631267724,0.831024779459666
"CGGA_1682",-418.828578564916,587.279095210014,168.450516645097,0.8081960980945
"CGGA_1684",-91.156606648583,1311.35150968918,1220.19490304059,0.7080257782211
"CGGA_1685",-1647.37511578616,-855.070212559193,-2502.44532834535,0.971892185184319
"CGGA_1686",-1537.58992232219,-348.151773428305,-1885.74169575049,0.94662982703269
"CGGA_1687",-738.158128624449,844.981745818685,106.823617194236,0.813490335742507
"CGGA_1688",-1441.94176306024,-646.705681554189,-2088.64744461443,0.955808690743748
"CGGA_1689",-1452.42079104857,-77.7258024163338,-1530.14659346491,0.92852382979104
"CGGA_1690",-772.970952798392,259.294749506189,-513.676203292204,0.863016543090896
"CGGA_1693",-1601.84131470189,-454.267123467206,-2056.1084381691,0.95439359771032
"CGGA_1694",-799.99659198795,128.363147714269,-671.633444273681,0.874496673068194
"CGGA_1695",-1961.16447450641,-1031.45542021928,-2992.61989472569,0.986302260260332
"CGGA_1696",-112.73210451827,729.753611291274,617.021506773003,0.767695733521915
"CGGA_1697",-1365.09636604037,-367.254812199322,-1732.3511782397,0.939133091855316
"CGGA_1698",-596.659751336886,502.989198435562,-93.6705529013245,0.830251573449853
"CGGA_1699",-1435.88871620399,-589.507249817073,-2025.39596602106,0.953037964474528
"CGGA_1700",-814.748374435505,443.393815633461,-371.354558802043,0.852275280978733
"CGGA_1701",-1909.07715434386,-768.495173480548,-2677.57232782441,0.977622423238057
"CGGA_1702",-1304.80226688383,-1180.47478445008,-2485.27705133391,0.971295800665973
"CGGA_1703",-1012.31976011623,199.288385165708,-813.031374950524,0.884374701544079
"CGGA_1704",-1184.62901726512,-15.2353052831179,-1199.86432254824,0.90943996013904
"CGGA_1706",434.33502880569,1707.02663664117,2141.36166544686,0.606365594395058
"CGGA_1708",-1040.10215450177,894.190752066177,-145.91140243559,0.834501373938884
"CGGA_1709",-1027.10182923538,194.519960685923,-832.58186854946,0.885710609851199
"CGGA_1713",-1602.39424232184,-1118.66159642831,-2721.05583875015,0.978945247613548
"CGGA_1714",-1027.88606385116,658.719768876825,-369.166294974337,0.852107213226586
"CGGA_1715",-1052.93122317522,-101.99502455086,-1154.92624772608,0.906677183449246
"CGGA_1716",-985.257658933795,310.092701952763,-675.164956981033,0.87474798866762
"CGGA_1718",-1540.40884462034,-117.212516644963,-1657.6213612653,0.935308065040121
"CGGA_1720",-1572.73448946359,-1168.0301088792,-2740.76459834279,0.979531681516714
"CGGA_1721",-1467.43710571167,-321.21677870424,-1788.65388441591,0.941940313901092
"CGGA_1722",-616.061329785282,980.437773205729,364.376443420447,0.790927272182542
"CGGA_1723",-1644.85223762507,-546.920664471146,-2191.77290209622,0.960149311812494
"CGGA_1725",-1583.0210899837,-621.742757426895,-2204.76384741059,0.960680526222483
"CGGA_1727",-1297.56536335682,161.181844304316,-1136.3835190525,0.905525678279452
"CGGA_1728",-1062.22369140375,581.781202334984,-480.442489068769,0.860541873425608
"CGGA_1729",-841.877574799489,111.212754772125,-730.664820027364,0.878666647028722
"CGGA_1731",-1336.88149754026,-60.0053775163378,-1396.88687505659,0.921084196860624
"CGGA_1735",-1756.82298053585,-1292.42208396145,-3049.2450644973,0.987639208334264
"CGGA_1736",-463.218133906765,641.596321565713,178.378187658948,0.807337036122328
"CGGA_1737",-1694.39063242332,-835.209957696812,-2529.60059012013,0.972822889381709
"CGGA_1738",-1226.76848645502,-254.229462559535,-1480.99794901456,0.925821159654736
"CGGA_1739",-1171.73744784633,-33.8812568371275,-1205.61870468346,0.909790881951127
"CGGA_1740",-1857.27544830642,-1001.59143097037,-2858.8668792768,0.982873890311389
"CGGA_1743",-1595.95769017715,-1062.64500104487,-2658.60269122203,0.97703286148714
"CGGA_1744",-697.616027861653,785.67322137941,88.0571935177574,0.815089317415255
"CGGA_1745",-1579.43299993352,-1293.99513991586,-2873.42813984938,0.983265528187868
"CGGA_1747",-811.056288555851,996.547929776775,185.491641220925,0.806720439764047
"CGGA_1749",-1600.50495953902,-629.531526964231,-2230.03648650325,0.961703942723802
"CGGA_1750",-1335.31071271401,-657.413809563607,-1992.72452227761,0.951574601552883
"CGGA_1758",-1505.03692648348,-1286.22114036248,-2791.25806684596,0.980996695165935
"CGGA_1760",-595.206429027629,739.967064245353,144.760635217724,0.810239095047009
"CGGA_1764",-917.557506793881,-4.18605041192717,-921.743557205809,0.891710477768542
"CGGA_1767",-579.564738956463,555.265334797896,-24.299404158567,0.824532803398555
"CGGA_1769",-1441.8974099352,-978.205544804396,-2420.1029547396,0.968975685523139
"CGGA_1770",-1303.08686726163,-140.87942484159,-1443.96629210322,0.923752959824219
"CGGA_1771",-1899.08120959526,-1378.69322647552,-3277.77443607078,0.992340641926865
"CGGA_1773",-976.627365357783,165.958531300982,-810.6688340568,0.884212772861999
"CGGA_1776",-1325.32048314942,-689.471105702923,-2014.79158885234,0.952565392557099
"CGGA_1780",-759.629075616472,28.5289220965542,-731.100153519918,0.878697154291397
"CGGA_1785",-1530.53384230655,-337.636118451557,-1868.1699607581,0.945795303236846
"CGGA_1786",-2069.99811665967,-936.484375099991,-3006.48249175966,0.986635865576523
"CGGA_1791",-622.167446773911,108.037649611805,-514.129797162107,0.863050176944482
"CGGA_1807",-1500.335597097,-969.97797858812,-2470.31357568512,0.970770974292963
"CGGA_1809",-1380.80929416193,-370.437605198927,-1751.24689936086,0.940082383206678
"CGGA_1811",112.351967149568,1669.74863967869,1782.10060682826,0.647437615500121
"CGGA_1812",-729.374312005146,199.74376324763,-529.630548757516,0.864197252743375
"CGGA_1814",-350.538120713765,421.481705848648,70.9435851348836,0.816542080243178
"CGGA_1815",-966.149208248525,238.936156636478,-727.213051612048,0.878424627299618
"CGGA_1817",-655.935591650211,820.826753518131,164.89116186792,0.808503678561676
"CGGA_1819",-1109.30912739635,-95.3161909294639,-1204.62531832582,0.909730348218838
"CGGA_1820",-1586.19942871759,-535.297507365036,-2121.49693608262,0.957215168000803
"CGGA_1826",-1109.46268152031,-138.003714061888,-1247.4663955822,0.912323355863768
"CGGA_1829",-1230.05512566169,-610.194186832476,-1840.24931249416,0.944456344618478
"CGGA_1833",-1061.17805829926,-322.128994700147,-1383.30705299941,0.920306225738501
"CGGA_1840",-1125.94462230226,-538.970177934428,-1664.91480023669,0.935686341381502
"CGGA_1850",-1449.81198456279,-63.2680450949309,-1513.08002965772,0.927590814272991
"CGGA_1854",-1275.93983902064,161.509617938593,-1114.43022108204,0.904153704182958
"CGGA_1857",60.20887446603,1834.70509360079,1894.91396806682,0.634728975614936
"CGGA_1862",-1703.59129778262,-950.785701042018,-2654.37699882464,0.976900498329728
"CGGA_1863",-1942.34828397039,-1091.45812506188,-3033.80640903227,0.98728145601203
"CGGA_1865",-919.778570327456,264.495593234475,-655.282977092981,0.873330051304795
"CGGA_1866",-1274.31668640781,-414.597332570691,-1688.9140189785,0.936923495061867
"CGGA_1870",-1979.21882469422,-1360.50177145731,-3339.72059615154,0.993422872127942
"CGGA_1875",-584.502808735766,1090.99873454497,506.495925809205,0.777990739162196
"CGGA_1877",-1893.54109685144,-898.231146361982,-2791.77224321343,0.981011336391061
"CGGA_1880",-1705.3273260947,-610.166196267714,-2315.49352236241,0.965066406671444
"CGGA_1882",-1640.40641254678,-402.085087086922,-2042.4914996337,0.953794944742955
"CGGA_1886",-1338.49488187401,-62.442499660704,-1400.93738153472,0.921315536845784
"CGGA_1899",-812.745392947505,341.942324753138,-470.803068194367,0.859820262775724
"CGGA_1901",17.0583010263604,1477.28334610211,1494.34164712847,0.679042191025971
"CGGA_1902",-1515.09729783163,-588.83487060014,-2103.93216843177,0.956465884965598
"CGGA_1903",-1188.54776684569,-66.7167210346493,-1255.26448788034,0.912791466461891
"CGGA_1906",-894.862532625809,820.22353231985,-74.6390003059587,0.828691208030701
"CGGA_1908",-1080.36903812855,-176.211290403431,-1256.58032853198,0.912870336961446
"CGGA_1911",-1748.66428124661,-173.779813299621,-1922.44409454623,0.948352590254915
"CGGA_1912",-702.259672129546,720.098212382871,17.8385402533249,0.821017287943886
"CGGA_1916",-1532.62822132727,-761.155167307666,-2293.78338863494,0.964226549928881
"CGGA_1939",-1108.65077079792,215.395283948918,-893.255486849007,0.88981001487667
"CGGA_194",-1709.06457734005,-779.330925318004,-2488.39550265806,0.97140458672587
"CGGA_1946",-553.942305070875,317.007820002446,-236.934485068429,0.841788730849466
"CGGA_1953",-1249.79207592081,559.613873781164,-690.178202139644,0.875813762494232
"CGGA_1955",-1549.50010869342,-718.2347998676,-2267.73490856102,0.963205941883024
"CGGA_1972",-205.971232147171,778.265086910703,572.293854763532,0.771886425381953
"CGGA_1976",-69.5601963299088,126.92284055652,57.3626442266116,0.817691290626118
"CGGA_1985",-1681.78247782654,-575.71167248014,-2257.49415030668,0.96280084049874
"CGGA_1994",-1725.21433578286,-857.67913045357,-2582.89346623643,0.974604472269671
"CGGA_2002",-1356.06524070889,-494.39400600333,-1850.45924671222,0.944947811856156
"CGGA_2003",-596.783000252781,487.657723936446,-109.125276316335,0.831513913861449
"CGGA_2006",-245.468499130763,740.31779568955,494.849296558787,0.779063695697298
"CGGA_2008",-223.2157277543,1000.27716646555,777.06143871125,0.75243127362631
"CGGA_2013",-1132.64883834093,-168.100298253678,-1300.74913659461,0.915498005650168
"CGGA_2024",-1517.6894657165,-1342.32573479336,-2860.01520050986,0.982904938535959
