,Dataset,Model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std
43,tidied_integrated_df_6,SVM,0.7562726061298306,0.052081948652951855,0.38118233618233616,0.08989013043730731,0.5116959064327485,0.07037010038124598,0.4346523317951889,0.08050044968254565,0.7380538765213688,0.0384700258541346,0.41023937071203864,0.04746954826154179
44,tidied_integrated_df_6,RandomForest,0.8322672758423757,0.026300234189587792,0.5765469824293354,0.1240359434558219,0.402923976608187,0.07508188933662706,0.4613855515681074,0.06228751026776074,0.7545416236670107,0.06477219708389138,0.44433795795494857,0.07436181834749071
45,tidied_integrated_df_6,XGBoost,0.8362269179516465,0.027309702718358066,0.5548504273504273,0.09892630729100721,0.41461988304093567,0.10989485136135081,0.4705980926094778,0.10845854814545317,0.767939456484348,0.0662236515954558,0.4700198228917629,0.07070459004974441
46,tidied_integrated_df_6,LogisticRegression,0.7678850180849038,0.04052714241383813,0.4082604759075347,0.062306846374503067,0.576608187134503,0.03273809357258109,0.4746822703906254,0.04351074301255704,0.7577541074909496,0.04383674073422577,0.4262086761758745,0.05922008528013084
47,tidied_integrated_df_6,NaiveBayes,0.5593184846754236,0.045568184325998545,0.2391523406487764,0.023485526129482275,0.6631578947368422,0.09453809200303638,0.3500724240836865,0.0304130233652021,0.6607115009746589,0.039144098305238434,0.36597854803495583,0.054290291076122404
48,tidied_integrated_df_6,Ensemble,0.8107747953550352,0.03855793067903663,0.4923592197276408,0.10847874406479391,0.4678362573099415,0.05862554870106265,0.4738277511961722,0.06608131875326838,0.7687820859337886,0.04211306356300057,0.46640851291699736,0.0485880981432575
49,tidied_integrated_df_7,Deep,0.8459546925566341,0.017253694690099384,0.6488888888888888,0.1192391620122001,0.32631578947368417,0.0906074254706852,0.4256960408684547,0.0931377757941747,0.7419176208495094,0.09469589730044538,0.4904345812966528,0.09481503965807224
50,tidied_integrated_df_7,SVM,0.7599847706072721,0.06065135529451948,0.4030110155006531,0.10407446705817452,0.5760233918128654,0.07318124075303233,0.47002188868042527,0.09024958928616696,0.77473790685865,0.05457649898114836,0.4561705592846256,0.11369331257492149
51,tidied_integrated_df_7,RandomForest,0.8341899866742812,0.03270958612364549,0.5910014005602241,0.15537913849199492,0.4578947368421053,0.07991822365312988,0.49772031889678947,0.05949932353324074,0.7864966746932691,0.056932548023178126,0.49436977508662494,0.09645795383721244
52,tidied_integrated_df_7,XGBoost,0.8283837806967446,0.022438172942866166,0.5355555555555556,0.08444444444444443,0.4578947368421053,0.11744926512873162,0.4830647462226409,0.07744584067543153,0.765683735482497,0.04400315805155845,0.46687940480433354,0.07944916574351077
