,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Change
FOXO1,508.983256660178,0.748943236840139,0.103791025592894,7.21587663829207,5.35876210256303e-13,6.88704880829795e-12,NS
FOXO3,2204.64265916376,-0.0286466654274915,0.100949797277662,-0.283771401231236,0.776585572458684,0.817161740707206,NS
FOXO3B,56.964447336537,0.0490008760916976,0.25670155064973,0.190886560551243,0.848614469694067,0.87664418456527,NS
FOXO4,1540.78020553545,-0.840183079679882,0.108435473354602,-7.7482308481501,9.31816275481701e-15,1.79209025872263e-13,NS
FOXO6,621.317832445651,-0.528842040661334,0.177879035143045,-2.97304311458658,0.00294863029383615,0.00583898583988636,NS
FOXP1,1043.40304519278,-0.733399382142837,0.13560839794443,-5.4082150756133,6.36559549309789e-08,3.02212184977961e-07,NS
FOXP2,115.771168625375,-0.444802257213367,0.237010148551033,-1.87672241012749,0.0605561495071277,0.089595061416434,NS
FOXP4,1000.81827069391,0.106767159660398,0.113570108483367,0.940099125431713,0.347166717390541,0.416435867328056,NS
FOXQ1,196.860623868776,-0.220706337748472,0.228298803372235,-0.966743296453533,0.333672377149992,0.402330264886248,NS
FOXRED1,1427.81691076766,-0.840239234963369,0.0846238108781873,-9.92911127782772,3.11015115614902e-23,3.73955359752674e-21,NS
FOXRED2,1380.91257152485,-0.100067496014033,0.0880709726688477,-1.13621427107763,0.255866899270183,0.320465394209383,NS
FOXS1,105.592006429267,-0.714503945493848,0.231174572751038,-3.09075490868682,0.00199648354088843,0.00409229963830041,NS
FPGS,2327.30219499872,-0.63214820604498,0.115473543846998,-5.47439859369496,4.38999940071869e-08,2.14246753675484e-07,NS
FPGT,147.900471351631,0.934694016214455,0.111902730230407,8.35273647291646,6.66993512675129e-17,2.15241325998861e-15,NS
FPR1,273.395580517543,0.998518215400986,0.194727283668192,5.12777766212989,2.93182393120014e-07,1.24221785568365e-06,NS
FPR3,106.868816914668,1.45347214632209,0.236431796121953,6.14753248151268,7.86975879481932e-10,5.3203633801544e-09,Up
FRA10AC1,1256.25485173623,-1.15549268780241,0.126377296167679,-9.14319836586223,6.06320367415928e-20,3.85952635446876e-18,Down
FRAS1,182.367541238445,1.12171465766088,0.24517948063111,4.57507559267809,4.76048070193276e-06,1.61353357180565e-05,Up
FRAT1,496.799727707683,-0.978284505323451,0.131315317132681,-7.44988876152954,9.34189654082715e-14,1.42115899391477e-12,NS
FRAT2,421.57793270262,-0.652608187389664,0.0926207948259096,-7.0460223173026,1.84104739460779e-12,2.12545386267949e-11,NS
FREM1,195.941844302874,0.703147043881263,0.201306048952458,3.4929255605594,0.000477759669569264,0.00111614780605186,NS
FREM2,381.603981838334,1.289396865617,0.272758707993182,4.72724363267344,2.27588133091093e-06,8.21240899932928e-06,Up
FREM3,113.365624402786,-0.383495337200684,0.306486728187139,-1.25126245912523,0.210838737138941,0.270454748003737,NS
FRG1,840.217240974231,-0.665710127582908,0.140057887329683,-4.75310702078413,2.00314246265573e-06,7.31002887900804e-06,NS
FRG1B,243.140939996948,-0.140631434538189,0.152779133546367,-0.920488493904889,0.357317543060917,0.426908461575505,NS
FRK,54.6037582903747,0.022782642283884,0.184573299298244,0.123434117342566,0.90176334190298,0.920824801746838,NS
FRMD3,391.418654830672,0.532268871115861,0.147027996135518,3.62018720996007,0.000294389938334452,0.000718361016092127,NS
FRMD4A,951.254785997251,-0.159681197705911,0.116086339194277,-1.37553823140788,0.168964641501458,0.222742959542895,NS
FRMD4B,452.610047944255,0.752681565151614,0.1541379386766,4.88316874881031,1.04394456010288e-06,3.99747773050012e-06,NS
FRMD5,1017.8705492488,0.0719111167571149,0.132665917266891,0.54204665552832,0.587786365752434,0.650859423486835,NS
FRMD6,425.637461212758,0.60834078263535,0.124072469782978,4.90310851149681,9.43318397946341e-07,3.65353000130399e-06,NS
FRMD8,1043.66575726159,0.325893820494115,0.112906128784466,2.88641390863941,0.0038965933522168,0.00753059927291143,NS
FRMPD1,184.553525694144,-0.872390533211263,0.170892490303887,-5.10490854021701,3.30954541785848e-07,1.38812768017258e-06,NS
FRMPD2,85.6180534715098,-1.0163887614825,0.232694654351378,-4.36790765269456,1.25442509560492e-05,3.9217696748573e-05,Down
FRMPD3,1048.34145790362,-0.237710318265554,0.153621868278512,-1.54737291590928,0.121773348282306,0.166747510487463,NS
FRMPD4,193.470982644315,-0.908302135578267,0.308067782530592,-2.94838404755314,0.00319439949238198,0.00628046179267736,NS
FRRS1L,973.04567613357,-0.312004818679378,0.195997731851512,-1.59187974132147,0.111411728338242,0.154224388059555,NS
FRS2,866.431103612198,0.240065262373491,0.11412652356693,2.1035010519067,0.0354219934348967,0.055440150172138,NS
FRS3,602.390581456903,-0.648387601997832,0.100826767608059,-6.43070900098957,1.27010109589981e-10,9.93077118913574e-10,NS
FRY,1455.44253373627,-0.632253314774773,0.128832660858972,-4.90755457940031,9.22189968443914e-07,3.58263229125753e-06,NS
FRYL,1466.7590392374,0.211701093241659,0.10551732880384,2.00631588803027,0.0448225559567535,0.0684440007798704,NS
FRZB,402.818946142959,0.833416163625822,0.181254420888536,4.59804599270072,4.26471862086825e-06,1.46013315026225e-05,NS
