,ensembl_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,Change
3756,ENSG00000112782.15,166.982004427895,-1.26890418570278,0.0916437817132248,-13.8460478385045,1.34406370225202e-43,7.80630371163535e-43,CLIC5,Down
3757,ENSG00000112787.12,2190.79963588333,-0.591402766489814,0.0440933173570252,-13.4125260229618,5.10692618284922e-41,2.71469264276495e-40,FBRSL1,NS
3758,ENSG00000112796.9,971.972674502523,-0.127091245921772,0.130895648654979,-0.970935605787515,0.331580346081467,0.355149618083184,ENPP5,NS
3759,ENSG00000112799.8,876.467940819116,0.816765981737234,0.102332654661876,7.98147946455569,1.44589637317861e-15,3.14381285211481e-15,LY86,NS
3760,ENSG00000112818.9,20.2050958014643,-1.1690954584864,0.147487287496757,-7.92675408388743,2.24948122751981e-15,4.8596187731988e-15,MEP1A,Down
3761,ENSG00000112837.16,87.4098658663042,0.484785761425009,0.103868583782242,4.66729923305154,3.05184712753988e-06,4.52645410368032e-06,TBX18,NS
3762,ENSG00000112851.14,7509.26179365676,-0.358935972817344,0.059590021738128,-6.02342409597885,1.70765212680454e-09,2.92715896159374e-09,ERBB2IP,NS
3763,ENSG00000112852.6,929.394528545279,-0.205023472528025,0.144682743442537,-1.41705546666976,0.156466711331435,0.173487203502653,PCDHB2,NS
3764,ENSG00000112855.14,1532.64656306461,-0.194010457788462,0.0249096718371232,-7.78855936188313,6.77775273676667e-15,1.44039536917732e-14,HARS2,NS
3765,ENSG00000112874.9,1156.32908348716,-0.0800198216637944,0.0516649702074359,-1.54882159696431,0.121424612342614,0.135963742829502,NUDT12,NS
3766,ENSG00000112877.7,194.001908031636,0.0679245387012296,0.0505410292375757,1.34394846574928,0.178965052089792,0.197312794379735,CEP72,NS
3767,ENSG00000112893.9,1805.38694321165,0.16370587661478,0.0728268252580977,2.24787880062885,0.0245839193069113,0.0291729555112914,MAN2A1,NS
3768,ENSG00000112902.11,7393.04982149955,-0.367443960774368,0.0964756865885689,-3.80866904157285,0.000139716815426384,0.0001909571776584,SEMA5A,NS
3769,ENSG00000112936.18,392.880297747492,0.661221085702355,0.158712379632715,4.16615948442411,3.0977402832374e-05,4.38702145767782e-05,C7,NS
3770,ENSG00000112941.12,1396.70194734371,-0.0595770306324332,0.0364112526081081,-1.63622579189068,0.101792340371328,0.114832616166533,PAPD7,NS
3771,ENSG00000112964.13,241.637959672744,-0.470164231071571,0.0950683522119968,-4.94553886895118,7.59335167432005e-07,1.16168934082026e-06,GHR,NS
3772,ENSG00000112972.14,7733.05334515662,-1.11119100546021,0.0780185275345424,-14.2426554380718,4.97982250747769e-46,3.15301636256105e-45,HMGCS1,Down
3773,ENSG00000112977.15,4632.08420607815,0.863191920085307,0.0469613259753138,18.3809102949747,1.86807428754767e-75,3.18722691256469e-74,DAP,NS
3774,ENSG00000112981.4,318.06318560586,0.665203746479696,0.0897389052036048,7.41265725239731,1.23793530992588e-13,2.50518821156108e-13,NME5,NS
3775,ENSG00000112983.17,3785.95864248732,-0.232668001310284,0.0324488545176397,-7.17029937632475,7.48339376600249e-13,1.46510204633107e-12,BRD8,NS
3776,ENSG00000112984.11,370.858431025434,2.14143561753421,0.15075482342268,14.2047568954404,8.55991908089268e-46,5.38322050018237e-45,KIF20A,Up
3777,ENSG00000112992.16,3857.9015528527,-0.113293675444106,0.03992149898996,-2.8379113588044,0.00454097914280356,0.00568086379922012,NNT,NS
3778,ENSG00000112996.9,1551.50289260361,-0.113645410805678,0.032546953582515,-3.49173726866809,0.000479890032000677,0.000635391876574981,MRPS30,NS
3779,ENSG00000113013.12,16184.8314845531,-0.18506236441283,0.0325779909431526,-5.68059475293479,1.34227166125657e-08,2.22119803349066e-08,HSPA9,NS
3780,ENSG00000113048.16,3513.77860446859,-0.0360350561926822,0.0276011028593113,-1.30556580932148,0.19170025384315,0.210730532044132,MRPS27,NS
3781,ENSG00000113068.9,3429.91110289797,0.209375597768095,0.0283680775395357,7.38067630689089,1.57487473500934e-13,3.17046540351149e-13,PFDN1,NS
3782,ENSG00000113070.7,1033.38999607,0.537230836624389,0.0849786959518093,6.32194729051913,2.58287491050182e-10,4.57225711390343e-10,HBEGF,NS
3783,ENSG00000113083.12,790.043530335367,3.47987465031579,0.134505525083036,25.8716112082943,1.39020235644959e-147,2.41612457000577e-145,LOX,Up
3784,ENSG00000113088.5,30.3224478772733,1.18311910923027,0.193379490587071,6.11812093225862,9.46852021111736e-10,1.64017579600975e-09,GZMK,Up
3785,ENSG00000113100.9,87.698478539907,-2.39627012412461,0.186057134787327,-12.8792165205794,5.89307424803986e-38,2.80797320350375e-37,CDH9,Down
3786,ENSG00000113108.17,1269.3086922751,-0.176970996010077,0.0626773070932223,-2.82352583761873,0.00474985972917387,0.00593096220932158,APBB3,NS
3787,ENSG00000113119.12,376.890604143282,0.0847524693671067,0.0477510854816184,1.77488047679527,0.0759176245369483,0.0867026031076313,TMCO6,NS
3788,ENSG00000113140.10,230713.152284249,-0.42881080395544,0.0902234484998253,-4.75276450950853,2.00654006305209e-06,3.00256283203737e-06,SPARC,NS
3789,ENSG00000113141.15,5541.60923976906,-0.279648089695851,0.0260328478707093,-10.7421243762767,6.45418911826176e-27,2.09368096231117e-26,IK,NS
3790,ENSG00000113161.15,4296.87939562392,-0.819165639146834,0.068167339201406,-12.0169812808234,2.89350206266882e-33,1.18395730848388e-32,HMGCR,NS
3791,ENSG00000113163.15,2206.62947810526,-0.413541033883713,0.0398468858704858,-10.3782522736619,3.11424029454759e-25,9.52383536543125e-25,COL4A3BP,NS
3792,ENSG00000113194.12,3245.7764052402,0.186845920294085,0.0285676907025104,6.54046286904338,6.13287228651008e-11,1.11244423183928e-10,FAF2,NS
3793,ENSG00000113205.4,339.199180832236,0.618029588217215,0.153321679762256,4.03093410648479,5.55556185220215e-05,7.77119312904725e-05,PCDHB3,NS
3794,ENSG00000113209.8,1075.16188040405,-0.624919112341013,0.16421804003545,-3.80542303516782,0.000141562029912723,0.0001933373807572,PCDHB5,NS
3795,ENSG00000113211.5,335.36400257222,0.242209240937075,0.125286138956654,1.93324850581336,0.053205591980668,0.0615350936352097,PCDHB6,NS
3796,ENSG00000113212.6,596.95209392099,1.20860365618676,0.140237537896408,8.6182606619887,6.79787924099749e-18,1.60908249624165e-17,PCDHB7,Up
3797,ENSG00000113231.13,4031.95632362395,-1.45470543062283,0.0858340795829884,-16.9478770867036,1.99529401668788e-64,2.34227187717431e-63,PDE8B,Down
3798,ENSG00000113240.12,1282.84391147718,-0.637551694137228,0.049464898048482,-12.8889721659255,5.19313117459733e-38,2.47739321823274e-37,CLK4,NS
3799,ENSG00000113248.5,448.679746625446,-0.359858144456463,0.131447523623301,-2.73765632502697,0.00618787033321032,0.00766865148619031,PCDHB15,NS
3800,ENSG00000113262.14,39.4669954066955,0.211554412264147,0.0870069622724204,2.4314653303464,0.0150378874238708,0.0181388657386627,GRM6,NS
3801,ENSG00000113263.12,56.2526874285007,1.20035946595392,0.171904032410271,6.98273012635973,2.89498205265463e-12,5.53156544636552e-12,ITK,Up
3802,ENSG00000113269.13,6567.86305600906,0.0984565977701146,0.0397278629659728,2.47827570927848,0.013201908564528,0.0159929553335306,RNF130,NS
3803,ENSG00000113272.13,487.584434789965,0.17573686099507,0.0402036471125308,4.3711671357372,1.23584144473331e-05,1.78107072021017e-05,THG1L,NS
3804,ENSG00000113273.15,1173.96959812542,0.0555480386964446,0.0406722576832599,1.36574760931718,0.17201819546787,0.189970336707328,ARSB,NS
3805,ENSG00000113282.13,2786.60033929627,0.211979822912749,0.0320141288315625,6.6214459255802,3.55702144394266e-11,6.52014620775617e-11,CLINT1,NS
3806,ENSG00000113296.14,2542.48306477241,0.830753123653182,0.138596019013594,5.99406194756359,2.04663351010073e-09,3.49857131159005e-09,THBS4,NS
3807,ENSG00000113300.11,2146.1930253265,-0.436575159261639,0.0404488152563501,-10.7932743269434,3.70354474453743e-27,1.21174689886684e-26,CNOT6,NS
3808,ENSG00000113312.10,2836.29330289771,0.276082574582251,0.035550486311215,7.7659296181036,8.10485511566008e-15,1.71851084276217e-14,TTC1,NS
3809,ENSG00000113318.9,706.369114812338,0.111050961079991,0.035454749327263,3.13218858367723,0.0017350838768592,0.00222895891672692,MSH3,NS
3810,ENSG00000113319.11,1091.32646612397,-1.9242064766648,0.119013459845723,-16.1679735986093,8.48433950347215e-59,8.24629547569701e-58,RASGRF2,Down
3811,ENSG00000113327.14,1464.81377755616,-2.50308021496279,0.186619939667882,-13.4127158084896,5.09387162714662e-41,2.70915765896066e-40,GABRG2,Down
